All.interactions,share,like,comment,Impressions.when.page.liked,Impressions,Paid,Post.Hour,Post.Weekday,Post.Month,Category,Type,Page.likes
120,3,109,8,4650,5900,0,18,1,3,Action,Photo,102112
38,6,32,0,10987,11941,0,18,1,3,Action,Photo,102112
85,15,68,2,9403,10885,0,3,1,3,Inspiration,Link,102112
7,1,6,0,723,746,0,18,7,3,Action,Photo,100732
230,13,213,4,18310,22468,0,17,7,3,Action,Photo,100732
2,0,2,0,9065,9067,0,15,7,3,Action,Photo,100732
3,0,3,0,6932,6971,0,15,7,3,Action,Photo,100732
6,0,6,0,3972,5144,0,14,7,3,Action,Link,100732
4,0,4,0,7451,7469,0,12,7,3,Action,Photo,100732
5,1,4,0,721,726,0,17,6,3,Action,Photo,100732
237,14,211,12,16634,23855,0,17,6,3,Action,Photo,100732
17,1,15,1,9348,10510,0,15,6,3,Action,Photo,100732
110,4,95,11,11519,12811,0,15,6,3,Action,Photo,100732
143,0,127,16,13618,16557,1,13,6,3,Action,Photo,100732
149,13,136,0,72846,457509,0,10,6,3,Action,Photo,100732
49,15,32,2,8964,10083,0,6,6,3,Product,Link,98195
86,9,76,1,6380,7960,0,3,6,3,Action,Photo,98195
36,7,28,1,6423,7355,0,10,5,3,Action,Photo,98195
0,0,0,0,1614,2670,1,4,5,3,Action,Photo,98195
771,97,664,10,184270,191207,0,13,4,3,Inspiration,Photo,98195
73,10,62,1,8146,9940,0,9,2,3,Inspiration,Photo,96749
68,20,48,0,7034,9411,0,5,2,3,Product,Photo,96749
63,7,55,1,6937,8070,1,13,1,3,Action,Photo,96749
228,21,197,10,16682,125026,1,2,1,3,Action,Photo,96749
118,24,88,6,9837,12735,1,10,7,3,Action,Photo,96749
67,6,59,2,9579,21958,1,5,7,3,Action,Photo,96749
266,26,234,6,160270,162816,1,13,6,2,Action,Photo,93684
172,21,148,3,14636,33000,0,6,6,2,Action,Photo,93577
125,29,96,0,9122,11459,0,12,5,2,Action,Photo,93470
68,15,49,4,9103,10634,0,6,5,2,Action,Photo,93363
128,27,98,3,8471,10508,0,12,4,2,Inspiration,Photo,93256
282,70,198,14,11276,16535,0,3,4,2,Inspiration,Photo,93149
217,53,159,5,9670,14157,0,13,3,2,Inspiration,Photo,93042
29,6,22,1,5249,6737,1,9,3,2,Action,Photo,92935
178,18,154,6,9183,42940,0,6,3,2,Action,Photo,92828
165,32,128,5,9781,12627,0,13,2,2,Inspiration,Photo,92721
163,32,129,2,6285,9100,1,3,2,2,Product,Photo,92614
1873,181,1546,146,648611,665792,0,13,1,2,Inspiration,Photo,92507
95,11,79,5,8536,10115,0,4,1,2,Action,Photo,92400
311,78,214,19,11744,17029,1,13,7,2,Inspiration,Photo,92293
176,34,134,8,8907,497910,1,2,7,2,Inspiration,Photo,92186
313,36,268,9,81938,453213,0,13,6,2,Action,Photo,92079
170,38,128,4,7316,10832,0,3,6,2,Inspiration,Photo,91972
71,21,47,3,5362,7466,1,13,5,2,Product,Photo,91865
238,37,200,1,47976,51571,1,3,5,2,Product,Photo,91758
305,36,264,5,28247,31467,0,12,4,2,Action,Photo,91651
264,61,193,10,11885,16779,0,3,4,2,Inspiration,Photo,91544
131,13,114,4,13919,14986,0,13,3,2,Action,Link,91437
224,57,160,7,8753,13264,0,3,3,2,Inspiration,Photo,91330
61,15,46,0,7420,8893,0,13,2,2,Action,Photo,91223
182,42,136,4,8294,12060,1,4,2,2,Inspiration,Photo,91116
86,13,73,0,6338,39641,0,12,1,2,Action,Photo,91009
84,19,65,0,6101,9238,1,16,6,1,Inspiration,Photo,86909
633,47,579,7,66311,10966,1,10,6,1,Action,Photo,86909
107,5,101,1,12522,7927,0,4,6,1,Action,Link,86909
106,31,74,1,5225,8745,0,13,5,1,Inspiration,Photo,86909
127,36,84,7,6823,10325,0,4,5,1,Inspiration,Photo,86909
515,99,360,56,8774,20696,0,11,4,1,Product,Photo,86909
7,2,5,0,6625,7910,1,4,4,1,Action,Link,86491
226,36,187,3,17809,9456,0,10,3,1,Inspiration,Photo,86491
97,26,69,2,5732,8779,0,3,3,1,Product,Photo,86491
108,24,82,2,5485,8367,0,7,2,1,Inspiration,Photo,86491
14,2,12,0,7041,8371,0,2,2,1,Action,Link,86491
83,25,56,2,5340,8030,0,12,1,1,Inspiration,Photo,85979
66,21,44,1,4642,7491,0,2,1,1,Inspiration,Photo,85979
378,80,277,21,8872,17442,0,10,7,1,Inspiration,Photo,85979
103,28,74,1,4932,7754,0,2,7,1,Inspiration,Photo,85979
110,30,79,1,5757,8703,0,11,6,1,Inspiration,Photo,85979
152,46,105,1,6085,10228,1,3,6,1,Inspiration,Photo,85979
137,9,128,0,15766,5808,0,11,5,1,Action,Link,85979
257,55,185,17,8632,13960,0,2,1,1,Inspiration,Photo,85093
176,41,125,10,5654,9218,0,10,7,1,Inspiration,Photo,85093
84,26,53,5,4750,7536,0,2,7,1,Inspiration,Photo,85093
75,22,53,0,3961,6229,0,8,5,1,Product,Photo,81370
115,18,93,4,4742,7216,0,2,5,1,Action,Photo,81370
136,38,91,7,4534,7564,0,11,4,1,Inspiration,Photo,81370
119,28,91,0,3861,7292,NA,4,4,1,Product,Photo,81370
